Geography,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total population,Hispanic or Latino (of any race),Not Latino,One Race,Two or More Races
"Wykoff city, Fillmore County, Minnesota",394,390,10,0,0,0,0,394,0,394,388,6
"York township, Fillmore County, Minnesota",312,304,8,0,0,0,0,312,0,312,312,0
"Albert Lea city, Freeborn County, Minnesota",17716,16581,446,193,521,14,255,17716,2383,15333,17427,289
"Albert Lea township, Freeborn County, Minnesota",614,606,7,8,1,0,0,614,90,524,606,8
"Alden city, Freeborn County, Minnesota",685,682,0,2,2,2,7,685,57,628,675,10
"Alden township, Freeborn County, Minnesota",287,287,0,0,0,0,0,287,0,287,287,0
"Bancroft township, Freeborn County, Minnesota",1017,1001,8,4,11,0,5,1017,71,946,1005,12
"Bath township, Freeborn County, Minnesota",434,433,0,0,1,0,0,434,4,430,434,0
"Carlston township, Freeborn County, Minnesota",216,215,0,0,1,0,0,216,0,216,216,0
"Clarks Grove city, Freeborn County, Minnesota",680,588,3,0,90,0,0,680,28,652,679,1
"Conger city, Freeborn County, Minnesota",154,154,0,5,0,0,0,154,0,154,149,5
"Emmons city, Freeborn County, Minnesota",405,405,0,0,0,0,0,405,28,377,405,0
"Freeborn city, Freeborn County, Minnesota",314,314,0,1,0,0,0,314,12,302,313,1
"Freeborn township, Freeborn County, Minnesota",197,197,0,0,2,0,0,197,0,197,195,2
"Freeman township, Freeborn County, Minnesota",497,489,6,0,6,0,0,497,17,480,493,4
"Geneva city, Freeborn County, Minnesota",328,328,0,0,0,0,0,328,0,328,328,0
"Geneva township, Freeborn County, Minnesota",423,423,0,0,0,0,0,423,1,422,423,0
"Glenville city, Freeborn County, Minnesota",571,571,0,0,4,0,2,571,25,546,565,6
"Hartland city, Freeborn County, Minnesota",311,301,4,0,6,0,0,311,1,310,311,0
"Hartland township, Freeborn County, Minnesota",152,152,0,0,0,0,0,152,0,152,152,0
"Hayward city, Freeborn County, Minnesota",270,260,0,0,2,0,8,270,13,257,270,0
"Hayward township, Freeborn County, Minnesota",373,368,3,2,0,0,0,373,0,373,373,0
"Hollandale city, Freeborn County, Minnesota",373,371,0,2,0,0,0,373,26,347,373,0
"London township, Freeborn County, Minnesota",245,245,0,0,0,0,0,245,0,245,245,0
"Manchester city, Freeborn County, Minnesota",49,49,0,0,0,0,0,49,0,49,49,0
"Manchester township, Freeborn County, Minnesota",444,424,6,9,9,9,8,444,8,436,423,21
"Mansfield township, Freeborn County, Minnesota",178,177,0,0,1,0,0,178,1,177,178,0
"Moscow township, Freeborn County, Minnesota",572,536,4,0,6,3,26,572,36,536,569,3
"Myrtle city, Freeborn County, Minnesota",54,54,0,0,0,0,0,54,0,54,54,0
"Newry township, Freeborn County, Minnesota",615,602,0,21,0,0,0,615,38,577,607,8
"Nunda township, Freeborn County, Minnesota",299,276,4,11,19,0,1,299,6,293,287,12
"Oakland township, Freeborn County, Minnesota",421,421,0,0,0,0,0,421,13,408,421,0
"Pickerel Lake township, Freeborn County, Minnesota",655,655,0,0,0,0,0,655,12,643,655,0
"Riceland township, Freeborn County, Minnesota",523,494,0,0,0,0,29,523,34,489,523,0
"Shell Rock township, Freeborn County, Minnesota",379,379,0,0,0,0,0,379,4,375,379,0
"Twin Lakes city, Freeborn County, Minnesota",168,168,0,0,0,0,0,168,0,168,168,0
"Bellechester city, Goodhue County, Minnesota",176,170,0,7,0,0,0,176,4,172,175,1
"Belle Creek township, Goodhue County, Minnesota",502,501,0,0,1,0,0,502,8,494,502,0
"Belvidere township, Goodhue County, Minnesota",445,445,0,2,0,0,0,445,1,444,443,2
"Cannon Falls city, Goodhue County, Minnesota",4049,4049,55,51,37,0,0,4049,58,3991,3906,143
"Cannon Falls township, Goodhue County, Minnesota",915,886,13,8,23,2,0,915,4,911,900,15
"Cherry Grove township, Goodhue County, Minnesota",410,407,0,0,3,0,0,410,0,410,410,0
"Dennison city, Goodhue County, Minnesota",170,170,0,0,0,0,4,170,4,166,166,4
"Featherstone township, Goodhue County, Minnesota",686,686,2,0,0,0,0,686,0,686,684,2
"Florence township, Goodhue County, Minnesota",1475,1468,2,26,7,0,0,1475,4,1471,1447,28
"Goodhue city, Goodhue County, Minnesota",1206,1175,7,3,9,9,18,1206,123,1083,1195,11
"Goodhue township, Goodhue County, Minnesota",505,505,3,0,3,1,0,505,8,497,498,7
"Hay Creek township, Goodhue County, Minnesota",770,755,4,16,6,1,0,770,2,768,758,12
"Holden township, Goodhue County, Minnesota",456,452,0,0,4,0,0,456,0,456,456,0
"Kenyon city, Goodhue County, Minnesota",1928,1844,30,15,33,0,31,1928,182,1746,1903,25
"Kenyon township, Goodhue County, Minnesota",405,405,0,0,0,0,1,405,1,404,404,1
"Lake City city, Goodhue County, Minnesota",861,857,1,2,1,0,0,861,0,861,861,0
"Leon township, Goodhue County, Minnesota",948,939,5,15,13,0,3,948,3,945,926,22
"Minneola township, Goodhue County, Minnesota",608,604,7,4,4,0,1,608,3,605,596,12
"Pine Island city, Goodhue County, Minnesota",2581,2500,56,0,34,0,0,2581,0,2581,2572,9
"Pine Island township, Goodhue County, Minnesota",659,648,7,2,4,0,0,659,0,659,657,2
"Red Wing city, Goodhue County, Minnesota",16334,15175,529,714,206,79,374,16334,872,15462,15652,682
"Roscoe township, Goodhue County, Minnesota",753,740,7,7,1,0,3,753,2,751,748,5
"Stanton township, Goodhue County, Minnesota",896,891,3,3,12,0,0,896,6,890,883,13
"Vasa township, Goodhue County, Minnesota",1062,1048,9,15,3,0,0,1062,3,1059,1049,13
"Wacouta township, Goodhue County, Minnesota",362,352,1,11,1,0,0,362,2,360,359,3
"Wanamingo city, Goodhue County, Minnesota",1182,1117,50,3,23,0,4,1182,61,1121,1167,15
"Wanamingo township, Goodhue County, Minnesota",337,333,2,1,4,0,2,337,4,333,334,3
"Warsaw township, Goodhue County, Minnesota",703,702,2,9,3,0,10,703,39,664,681,22
"Welch township, Goodhue County, Minnesota",691,628,3,54,13,0,0,691,3,688,684,7
"Zumbrota city, Goodhue County, Minnesota",3362,3328,18,9,8,0,29,3362,75,3287,3332,30
"Zumbrota township, Goodhue County, Minnesota",701,687,0,12,2,0,0,701,7,694,701,0
"Ashby city, Grant County, Minnesota",517,514,6,4,1,0,0,517,11,506,513,4
"Barrett city, Grant County, Minnesota",385,375,0,10,0,0,0,385,27,358,385,0
"Delaware township, Grant County, Minnesota",56,56,0,0,0,0,0,56,4,52,56,0
"Elbow Lake city, Grant County, Minnesota",1283,1274,29,37,23,0,2,1283,0,1283,1201,82
"Elbow Lake township, Grant County, Minnesota",132,132,0,0,0,0,0,132,0,132,132,0
"Elk Lake township, Grant County, Minnesota",309,305,0,0,4,0,0,309,17,292,309,0
"Erdahl township, Grant County, Minnesota",370,370,0,0,2,0,0,370,0,370,368,2
"Gorton township, Grant County, Minnesota",38,38,0,0,0,0,0,38,0,38,38,0
"Herman city, Grant County, Minnesota",404,399,5,0,0,0,2,404,0,404,402,2
"Hoffman city, Grant County, Minnesota",620,620,5,0,0,0,0,620,0,620,615,5
"Land township, Grant County, Minnesota",366,366,0,0,0,0,0,366,16,350,366,0
"Lawrence township, Grant County, Minnesota",78,78,0,0,0,0,0,78,0,78,78,0
"Lien township, Grant County, Minnesota",101,101,0,0,0,0,7,101,7,94,94,7
"Logan township, Grant County, Minnesota",83,77,0,0,0,0,6,83,6,77,83,0
"Macsville township, Grant County, Minnesota",121,121,0,0,0,0,0,121,0,121,121,0
"Norcross city, Grant County, Minnesota",37,37,0,0,0,0,0,37,0,37,37,0
"North Ottawa township, Grant County, Minnesota",37,37,0,0,0,0,0,37,0,37,37,0
"Pelican Lake township, Grant County, Minnesota",440,440,12,0,0,0,0,440,0,440,428,12
"Pomme de Terre township, Grant County, Minnesota",101,101,0,0,0,0,0,101,3,98,101,0
"Roseville township, Grant County, Minnesota",115,115,0,0,0,0,0,115,0,115,115,0
"Sanford township, Grant County, Minnesota",131,131,0,0,0,0,0,131,0,131,131,0
"Stony Brook township, Grant County, Minnesota",87,87,0,0,0,0,0,87,15,72,87,0
"Wendell city, Grant County, Minnesota",112,112,0,0,0,0,0,112,19,93,112,0
"Bloomington city, Hennepin County, Minnesota",85417,69074,9541,1061,5635,89,3828,85417,7484,77933,81858,3559
"Brooklyn Center city, Hennepin County, Minnesota",30885,15392,9347,366,5391,6,1586,30885,3348,27537,29748,1137
"Brooklyn Park city, Hennepin County, Minnesota",79462,41045,23812,732,14778,350,1690,79462,4942,74520,76692,2770
"Champlin city, Hennepin County, Minnesota",24209,21391,2368,290,791,0,166,24209,567,23642,23502,707
"Chanhassen city, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Corcoran city, Hennepin County, Minnesota",5671,5351,40,7,297,0,21,5671,319,5352,5626,45
"Crystal city, Hennepin County, Minnesota",22910,18598,3337,259,833,0,413,22910,1901,21009,22402,508
"Dayton city, Hennepin County, Minnesota",5238,4852,111,44,55,0,251,5238,713,4525,5184,54
"Deephaven city, Hennepin County, Minnesota",3818,3666,51,7,68,0,74,3818,83,3735,3770,48
"Eden Prairie city, Hennepin County, Minnesota",63660,52279,4209,645,7141,143,926,63660,2815,60845,61998,1662
"Edina city, Hennepin County, Minnesota",50603,44642,1251,315,4845,119,807,50603,1509,49094,49358,1245
"Excelsior city, Hennepin County, Minnesota",2375,2280,40,25,55,0,32,2375,218,2157,2330,45
"Fort Snelling UT, Hennepin County, Minnesota",329,282,57,4,0,0,4,329,156,173,311,18
"Golden Valley city, Hennepin County, Minnesota",21208,18524,1877,247,1256,26,135,21208,614,20594,20435,773
"Greenfield city, Hennepin County, Minnesota",2913,2870,4,0,72,11,12,2913,6,2907,2864,49
"Greenwood city, Hennepin County, Minnesota",747,730,0,4,24,0,0,747,14,733,736,11
"Hanover city, Hennepin County, Minnesota",652,618,7,2,22,0,25,652,31,621,630,22
"Hopkins city, Hennepin County, Minnesota",18217,11346,3865,242,2008,56,1206,18217,2070,16147,17711,506
"Independence city, Hennepin County, Minnesota",3726,3659,23,4,0,8,36,3726,144,3582,3722,4
"Long Lake city, Hennepin County, Minnesota",1727,1706,18,0,15,0,0,1727,13,1714,1715,12
"Loretto city, Hennepin County, Minnesota",694,694,0,0,0,0,0,694,14,680,694,0
"Maple Grove city, Hennepin County, Minnesota",68362,59615,3576,608,5847,14,540,68362,1251,67111,66762,1600
"Maple Plain city, Hennepin County, Minnesota",1894,1683,188,45,27,33,45,1894,145,1749,1801,93
"Medicine Lake city, Hennepin County, Minnesota",373,356,9,0,8,6,3,373,2,371,364,9
"Medina city, Hennepin County, Minnesota",5920,5314,106,16,581,177,0,5920,194,5726,5646,274
"Minneapolis city, Hennepin County, Minnesota",411452,280540,88466,11067,30475,910,22091,411452,40147,371305,391234,20218
"Minnetonka city, Hennepin County, Minnesota",52102,46881,2978,241,2894,68,399,52102,1182,50920,50762,1340
"Minnetonka Beach city, Hennepin County, Minnesota",640,628,0,0,23,0,0,640,9,631,629,11
"Minnetrista city, Hennepin County, Minnesota",7187,6902,124,99,183,0,19,7187,19,7168,7047,140
"Mound city, Hennepin County, Minnesota",9380,9080,53,155,293,11,34,9380,76,9304,9176,204
"New Hope city, Hennepin County, Minnesota",20909,15262,4977,296,812,63,503,20909,1367,19542,19992,917
"Orono city, Hennepin County, Minnesota",7887,7643,30,50,148,0,86,7887,126,7761,7817,70
"Osseo city, Hennepin County, Minnesota",2680,2480,140,39,54,23,0,2680,25,2655,2624,56
"Plymouth city, Hennepin County, Minnesota",76258,63672,5045,911,8093,12,558,76258,3376,72882,74264,1994
"Richfield city, Hennepin County, Minnesota",35993,27058,4700,719,2897,57,2290,35993,5677,30316,34374,1619
"Robbinsdale city, Hennepin County, Minnesota",14446,11906,2172,249,721,0,483,14446,947,13499,13673,773
"Rockford city, Hennepin County, Minnesota",306,306,0,0,0,0,0,306,0,306,306,0
"Rogers city, Hennepin County, Minnesota",12564,11807,29,0,878,9,61,12564,75,12489,12344,220
"St. Anthony city, Hennepin County, Minnesota",5560,5092,122,260,338,0,0,5560,205,5355,5308,252
"St. Bonifacius city, Hennepin County, Minnesota",2471,2289,30,11,184,0,0,2471,67,2404,2435,36
"St. Louis Park city, Hennepin County, Minnesota",48124,41381,4443,360,2380,75,1125,48124,1840,46284,46525,1599
"Shorewood city, Hennepin County, Minnesota",7696,7576,12,35,175,35,32,7696,297,7399,7550,146
"Spring Park city, Hennepin County, Minnesota",1774,1711,42,0,38,5,0,1774,5,1769,1752,22
"Tonka Bay city, Hennepin County, Minnesota",1380,1331,17,0,15,11,9,1380,34,1346,1377,3
"Wayzata city, Hennepin County, Minnesota",4467,4134,315,0,93,0,0,4467,17,4450,4392,75
"Woodland city, Hennepin County, Minnesota",477,456,15,4,0,0,2,477,15,462,477,0
"Black Hammer township, Houston County, Minnesota",209,209,0,0,0,0,0,209,0,209,209,0
"Brownsville city, Houston County, Minnesota",639,622,3,14,0,0,3,639,3,636,636,3
"Brownsville township, Houston County, Minnesota",431,431,0,0,0,0,0,431,0,431,431,0
"Caledonia city, Houston County, Minnesota",2777,2686,78,35,14,0,3,2777,18,2759,2738,39
"Caledonia township, Houston County, Minnesota",558,555,3,0,0,0,0,558,3,555,558,0
"Crooked Creek township, Houston County, Minnesota",271,253,0,0,18,0,0,271,0,271,271,0
"Eitzen city, Houston County, Minnesota",231,231,0,0,0,0,0,231,10,221,231,0
"Hokah city, Houston County, Minnesota",597,580,43,14,0,26,1,597,7,590,530,67
"Hokah township, Houston County, Minnesota",450,450,0,0,0,0,0,450,2,448,450,0
"Houston city, Houston County, Minnesota",1045,1026,8,22,21,0,0,1045,4,1041,1013,32
"Houston township, Houston County, Minnesota",394,389,5,5,0,0,0,394,2,392,389,5
"Jefferson township, Houston County, Minnesota",107,107,0,0,0,0,0,107,0,107,107,0
"La Crescent city, Houston County, Minnesota",5046,4930,56,0,90,13,13,5046,104,4942,4990,56
"La Crescent township, Houston County, Minnesota",1116,1093,9,0,4,2,8,1116,6,1110,1116,0
"Mayville township, Houston County, Minnesota",390,390,0,0,0,0,0,390,9,381,390,0
"Money Creek township, Houston County, Minnesota",619,619,0,2,0,0,0,619,0,619,617,2
"Mound Prairie township, Houston County, Minnesota",642,639,4,3,4,4,0,642,0,642,638,4
"Sheldon township, Houston County, Minnesota",271,269,1,1,0,0,1,271,2,269,270,1
"Spring Grove city, Houston County, Minnesota",1314,1300,14,4,0,0,0,1314,3,1311,1310,4
"Spring Grove township, Houston County, Minnesota",368,363,0,0,0,0,5,368,4,364,368,0
"Union township, Houston County, Minnesota",314,314,0,0,0,0,0,314,0,314,314,0
"Wilmington township, Houston County, Minnesota",357,357,7,7,0,0,0,357,6,351,350,7
"Winnebago township, Houston County, Minnesota",279,279,0,0,0,0,0,279,0,279,279,0
"Yucatan township, Houston County, Minnesota",284,284,0,16,0,0,0,284,0,284,268,16
"Akeley city, Hubbard County, Minnesota",338,325,2,21,2,0,0,338,5,333,328,10
"Akeley township, Hubbard County, Minnesota",491,485,5,2,0,0,6,491,27,464,484,7
"Arago township, Hubbard County, Minnesota",662,659,3,0,0,0,0,662,0,662,662,0
"Badoura township, Hubbard County, Minnesota",107,102,3,3,2,0,0,107,3,104,104,3
"Clay township, Hubbard County, Minnesota",89,89,0,0,0,0,0,89,0,89,89,0
"Clover township, Hubbard County, Minnesota",164,164,0,0,0,0,0,164,5,159,164,0
"Crow Wing Lake township, Hubbard County, Minnesota",334,334,0,0,0,0,0,334,0,334,334,0
"Farden township, Hubbard County, Minnesota",965,851,29,106,28,12,0,965,52,913,919,46
"Fern township, Hubbard County, Minnesota",204,201,0,14,1,0,0,204,0,204,192,12
"Guthrie township, Hubbard County, Minnesota",493,488,0,8,3,0,4,493,11,482,483,10
"Hart Lake township, Hubbard County, Minnesota",559,448,0,118,1,0,2,559,9,550,549,10
"Helga township, Hubbard County, Minnesota",1725,1617,23,27,86,0,0,1725,17,1708,1699,26
"Hendrickson township, Hubbard County, Minnesota",292,286,4,4,4,0,0,292,0,292,286,6
"Henrietta township, Hubbard County, Minnesota",1558,1538,3,25,0,0,0,1558,12,1546,1550,8
"Hubbard township, Hubbard County, Minnesota",888,888,0,8,0,0,0,888,3,885,880,8
"Lake Alice township, Hubbard County, Minnesota",56,56,0,0,0,0,0,56,0,56,56,0
"Lake Emma township, Hubbard County, Minnesota",1066,1060,7,4,3,0,6,1066,11,1055,1052,14
"Lake George township, Hubbard County, Minnesota",337,336,2,14,0,0,0,337,17,320,322,15
"Lake Hattie township, Hubbard County, Minnesota",154,148,2,8,0,0,0,154,0,154,150,4
"Lakeport township, Hubbard County, Minnesota",964,902,0,80,7,0,0,964,19,945,939,25
"Laporte city, Hubbard County, Minnesota",181,181,0,0,0,0,0,181,0,181,181,0
"Mantrap township, Hubbard County, Minnesota",515,508,0,0,0,0,7,515,7,508,515,0
"Nevis city, Hubbard County, Minnesota",422,421,0,47,0,0,1,422,50,372,375,47
"Nevis township, Hubbard County, Minnesota",1013,1009,0,4,0,0,0,1013,0,1013,1013,0
"Park Rapids city, Hubbard County, Minnesota",3934,3636,172,202,20,0,20,3934,93,3841,3818,116
"Rockwood township, Hubbard County, Minnesota",421,413,1,19,0,0,0,421,0,421,409,12
"Schoolcraft township, Hubbard County, Minnesota",79,75,0,3,1,0,0,79,0,79,79,0
"Steamboat River township, Hubbard County, Minnesota",109,109,0,3,0,0,0,109,0,109,106,3
"Straight River township, Hubbard County, Minnesota",784,759,17,11,0,0,13,784,20,764,768,16
"Thorpe township, Hubbard County, Minnesota",30,30,0,0,0,0,0,30,0,30,30,0
"Todd township, Hubbard County, Minnesota",1274,1249,0,2,0,0,32,1274,52,1222,1265,9
"White Oak township, Hubbard County, Minnesota",535,533,0,2,0,0,0,535,0,535,535,0
"Athens township, Isanti County, Minnesota",1996,1945,17,14,59,0,10,1996,9,1987,1954,42
"Bradford township, Isanti County, Minnesota",3412,3319,21,43,9,0,65,3412,10,3402,3367,45
"Braham city, Isanti County, Minnesota",1866,1813,76,20,10,0,0,1866,68,1798,1813,53
"Cambridge city, Isanti County, Minnesota",8462,8107,214,146,339,0,36,8462,130,8332,8127,335
"Cambridge township, Isanti County, Minnesota",2283,2261,9,9,13,0,10,2283,0,2283,2264,19
"Dalbo township, Isanti County, Minnesota",848,846,8,0,0,0,0,848,3,845,842,6
"Isanti city, Isanti County, Minnesota",5458,5434,44,94,0,0,12,5458,177,5281,5332,126
"Isanti township, Isanti County, Minnesota",2500,2444,0,34,24,9,0,2500,0,2500,2489,11
"Maple Ridge township, Isanti County, Minnesota",743,727,5,11,3,0,11,743,67,676,729,14
"North Branch township, Isanti County, Minnesota",1728,1645,21,15,56,0,14,1728,68,1660,1705,23
"Oxford township, Isanti County, Minnesota",935,912,8,57,4,0,0,935,21,914,889,46
"St. Francis city, Isanti County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Spencer Brook township, Isanti County, Minnesota",1596,1574,12,4,5,0,9,1596,22,1574,1588,8
"Springvale township, Isanti County, Minnesota",1666,1607,28,8,36,0,9,1666,56,1610,1644,22
"Stanchfield township, Isanti County, Minnesota",1013,990,12,0,0,0,11,1013,15,998,1013,0
"Stanford township, Isanti County, Minnesota",2343,2304,34,29,0,0,3,2343,53,2290,2316,27
"Wyanett township, Isanti County, Minnesota",1735,1709,0,17,10,0,1,1735,11,1724,1733,2
"Alvwood township, Itasca County, Minnesota",39,39,0,0,0,0,0,39,0,39,39,0
"Arbo township, Itasca County, Minnesota",859,820,8,18,3,0,22,859,30,829,847,12
"Ardenhurst township, Itasca County, Minnesota",162,155,3,0,0,0,4,162,4,158,162,0
"Balsam township, Itasca County, Minnesota",533,528,3,15,0,0,0,533,11,522,520,13
"Bearville township, Itasca County, Minnesota",183,177,0,6,0,0,0,183,0,183,183,0
"Bigfork city, Itasca County, Minnesota",401,396,2,20,0,0,0,401,3,398,384,17
"Bigfork township, Itasca County, Minnesota",286,273,9,7,3,0,4,286,18,268,276,10
"Blackberry township, Itasca County, Minnesota",872,860,0,7,3,0,4,872,23,849,870,2
"Bovey city, Itasca County, Minnesota",822,751,20,115,4,0,0,822,119,703,754,68
"Bowstring township, Itasca County, Minnesota",210,206,0,8,1,0,0,210,0,210,205,5
"Bowstring Lake UT, Itasca County, Minnesota",1035,508,10,549,0,0,19,1035,38,997,984,51
"Carpenter township, Itasca County, Minnesota",231,196,23,25,0,0,0,231,0,231,218,13
"Cohasset city, Itasca County, Minnesota",2731,2673,22,128,5,0,0,2731,0,2731,2634,97
"Coleraine city, Itasca County, Minnesota",1713,1695,6,57,9,0,0,1713,0,1713,1659,54
"Deer Lake UT, Itasca County, Minnesota",3511,3357,7,144,1,1,48,3511,53,3458,3464,47
"Deer River city, Itasca County, Minnesota",932,629,5,304,11,0,0,932,5,927,915,17
"Deer River township, Itasca County, Minnesota",601,577,0,30,0,0,0,601,29,572,595,6
"Effie city, Itasca County, Minnesota",69,67,0,0,2,0,0,69,0,69,69,0
"Effie UT, Itasca County, Minnesota",233,233,0,17,0,0,0,233,0,233,216,17
"Feeley township, Itasca County, Minnesota",327,323,0,10,0,0,0,327,2,325,321,6
"Good Hope township, Itasca County, Minnesota",105,105,0,0,0,0,0,105,0,105,105,0
"Goodland township, Itasca County, Minnesota",515,497,0,26,3,0,0,515,0,515,504,11
"Grand Rapids city, Itasca County, Minnesota",11099,10815,84,219,102,13,13,11099,57,11042,10952,147
"Grattan township, Itasca County, Minnesota",65,65,0,0,0,0,0,65,16,49,65,0
"Greenway township, Itasca County, Minnesota",2002,1964,2,77,0,0,4,2002,24,1978,1957,45
"Harris township, Itasca County, Minnesota",3250,3156,43,63,65,0,0,3250,38,3212,3173,77
"Keewatin city, Itasca County, Minnesota",1012,986,18,21,0,0,20,1012,25,987,979,33
"Kinghurst township, Itasca County, Minnesota",106,106,0,0,0,0,0,106,0,106,106,0
"Lake Jessie township, Itasca County, Minnesota",299,299,0,2,0,0,0,299,0,299,297,2
"La Prairie city, Itasca County, Minnesota",833,827,5,28,2,0,0,833,18,815,804,29
"Lawrence township, Itasca County, Minnesota",473,473,0,4,0,0,0,473,11,462,469,4
"Liberty UT, Itasca County, Minnesota",85,85,0,0,0,0,0,85,0,85,85,0
"Little Sand Lake UT, Itasca County, Minnesota",241,241,0,0,0,0,0,241,0,241,241,0
"Lone Pine township, Itasca County, Minnesota",423,416,4,7,7,0,0,423,9,414,416,7
"Marcell township, Itasca County, Minnesota",456,453,0,3,0,0,0,456,0,456,456,0
"Max township, Itasca County, Minnesota",136,110,0,19,10,0,0,136,0,136,133,3
"Moose Park township, Itasca County, Minnesota",67,67,0,2,0,0,0,67,0,67,65,2
"Morse township, Itasca County, Minnesota",656,573,7,93,0,0,0,656,3,653,646,10
"Nashwauk township, Itasca County, Minnesota",1818,1802,20,11,24,0,0,1818,18,1800,1784,34
"Nore township, Itasca County, Minnesota",81,59,1,22,0,0,0,81,0,81,80,1
"Northeast Itasca UT, Itasca County, Minnesota",1205,1162,82,54,0,0,0,1205,20,1185,1112,93
"Oteneagen township, Itasca County, Minnesota",319,298,4,20,9,0,0,319,1,318,307,12
"Pomroy township, Itasca County, Minnesota",16,16,0,0,0,0,0,16,0,16,16,0
"Sago township, Itasca County, Minnesota",197,194,0,1,0,0,5,197,5,192,194,3
"Sand Lake township, Itasca County, Minnesota",201,176,0,28,0,0,0,201,0,201,198,3
"Spang township, Itasca County, Minnesota",243,239,2,0,2,0,0,243,0,243,243,0
"Splithand township, Itasca County, Minnesota",271,264,2,7,0,0,0,271,10,261,269,2
"Squaw Lake city, Itasca County, Minnesota",151,41,0,103,5,7,0,151,0,151,146,5
"Stokes township, Itasca County, Minnesota",219,218,0,0,1,0,0,219,8,211,219,0
"Taconite city, Itasca County, Minnesota",648,632,18,22,8,0,0,648,0,648,616,32
"Third River township, Itasca County, Minnesota",64,64,0,0,0,0,0,64,0,64,64,0
"Trout Lake township, Itasca County, Minnesota",1091,1074,9,15,0,0,0,1091,0,1091,1084,7
"Wabana township, Itasca County, Minnesota",588,588,0,29,25,0,0,588,0,588,549,39
"Warba city, Itasca County, Minnesota",164,163,0,5,0,0,0,164,0,164,160,4
"Wawina township, Itasca County, Minnesota",66,66,0,0,0,0,0,66,0,66,66,0
"Wildwood township, Itasca County, Minnesota",146,142,0,0,4,0,0,146,0,146,146,0
"Wirt township, Itasca County, Minnesota",70,69,0,3,0,0,0,70,0,70,68,2
"Zemple city, Itasca County, Minnesota",106,94,0,12,0,0,0,106,0,106,106,0
"Alba township, Jackson County, Minnesota",189,165,0,0,0,0,24,189,25,164,189,0
"Alpha city, Jackson County, Minnesota",179,131,0,0,46,0,2,179,2,177,179,0
"Belmont township, Jackson County, Minnesota",211,211,9,0,0,0,0,211,0,211,202,9
"Christiania township, Jackson County, Minnesota",309,309,0,0,0,0,0,309,10,299,309,0
"Delafield township, Jackson County, Minnesota",227,227,0,0,0,0,0,227,0,227,227,0
"Des Moines township, Jackson County, Minnesota",206,205,1,0,0,0,0,206,0,206,206,0
"Enterprise township, Jackson County, Minnesota",151,148,0,0,3,0,0,151,0,151,151,0
"Ewington township, Jackson County, Minnesota",243,242,0,0,3,0,0,243,0,243,241,2
"Heron Lake city, Jackson County, Minnesota",724,683,0,0,0,2,44,724,88,636,719,5
"Heron Lake township, Jackson County, Minnesota",273,273,0,0,0,0,0,273,0,273,273,0
"Hunter township, Jackson County, Minnesota",210,210,3,0,0,0,0,210,0,210,207,3
"Jackson city, Jackson County, Minnesota",3250,3020,20,17,206,0,34,3250,111,3139,3203,47
"Kimball township, Jackson County, Minnesota",99,99,0,0,0,0,0,99,0,99,99,0
"La Crosse township, Jackson County, Minnesota",131,131,0,0,0,0,0,131,0,131,131,0
"Lakefield city, Jackson County, Minnesota",1703,1691,0,7,20,0,0,1703,29,1674,1688,15
"Middletown township, Jackson County, Minnesota",205,204,0,0,1,0,0,205,7,198,205,0
"Minneota township, Jackson County, Minnesota",245,241,0,0,4,0,0,245,0,245,245,0
"Okabena city, Jackson County, Minnesota",240,234,0,0,5,0,1,240,22,218,240,0
"Petersburg township, Jackson County, Minnesota",236,232,0,0,0,0,4,236,4,232,236,0
"Rost township, Jackson County, Minnesota",184,173,0,11,0,0,0,184,0,184,184,0
"Round Lake township, Jackson County, Minnesota",186,186,0,0,0,0,0,186,11,175,186,0
"Sioux Valley township, Jackson County, Minnesota",226,226,0,0,0,0,17,226,20,206,209,17
"Weimer township, Jackson County, Minnesota",156,156,0,0,0,0,0,156,14,142,156,0
"West Heron Lake township, Jackson County, Minnesota",83,83,0,0,0,0,0,83,0,83,83,0
"Wilder city, Jackson County, Minnesota",32,32,0,0,0,0,0,32,0,32,32,0
"Wisconsin township, Jackson County, Minnesota",206,206,1,0,0,0,0,206,0,206,205,1
"Ann Lake township, Kanabec County, Minnesota",429,419,5,17,3,0,1,429,5,424,415,14
"Arthur township, Kanabec County, Minnesota",1989,1928,5,12,14,0,33,1989,34,1955,1986,3
"Braham city, Kanabec County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Brunswick township, Kanabec County, Minnesota",1315,1285,0,14,7,0,12,1315,29,1286,1312,3
"Comfort township, Kanabec County, Minnesota",1089,1079,0,0,10,0,0,1089,7,1082,1089,0
"Ford township, Kanabec County, Minnesota",163,154,0,5,4,0,0,163,0,163,163,0
"Grass Lake township, Kanabec County, Minnesota",958,946,20,21,0,0,3,958,17,941,926,32
"Grasston city, Kanabec County, Minnesota",224,224,2,2,0,0,0,224,0,224,220,4
"Hay Brook township, Kanabec County, Minnesota",283,283,0,0,0,0,0,283,0,283,283,0
"Hillman township, Kanabec County, Minnesota",417,390,9,25,0,0,0,417,0,417,410,7
