Geography,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total population,Hispanic or Latino (of any race),Not Latino,One Race,Two or More Races
"Oak Grove city, Anoka County, Minnesota",8453,8023,222,40,288,0,45,8453,184,8269,8288,165
"Ramsey city, Anoka County, Minnesota",25853,24267,721,183,1106,7,239,25853,574,25279,25213,640
"St. Francis city, Anoka County, Minnesota",7475,7355,61,176,200,24,36,7475,70,7405,7098,377
"Spring Lake Park city, Anoka County, Minnesota",6293,5311,540,191,437,113,271,6293,451,5842,5804,489
"Atlanta township, Becker County, Minnesota",97,94,0,0,0,4,0,97,5,92,96,1
"Audubon city, Becker County, Minnesota",546,489,0,69,3,0,0,546,4,542,531,15
"Audubon township, Becker County, Minnesota",548,531,1,26,0,0,13,548,3,545,525,23
"Burlington township, Becker County, Minnesota",1582,1503,7,59,8,1,31,1582,46,1536,1555,27
"Callaway city, Becker County, Minnesota",216,98,0,124,0,0,0,216,2,214,210,6
"Callaway township, Becker County, Minnesota",314,232,2,113,5,1,4,314,17,297,271,43
"Carsonville township, Becker County, Minnesota",196,184,0,14,0,0,0,196,0,196,194,2
"Cormorant township, Becker County, Minnesota",1182,1179,0,0,4,0,0,1182,28,1154,1181,1
"Cuba township, Becker County, Minnesota",332,328,2,0,0,0,2,332,14,318,332,0
"Detroit township, Becker County, Minnesota",2220,2024,0,220,15,3,0,2220,45,2175,2178,42
"Detroit Lakes city, Becker County, Minnesota",9078,8483,217,605,123,17,17,9078,170,8908,8703,375
"Eagle View township, Becker County, Minnesota",162,110,0,55,1,0,0,162,0,162,158,4
"Erie township, Becker County, Minnesota",1921,1852,8,108,0,0,21,1921,76,1845,1853,68
"Evergreen township, Becker County, Minnesota",411,411,0,1,0,0,0,411,14,397,410,1
"Forest township, Becker County, Minnesota",109,109,0,5,0,0,0,109,4,105,104,5
"Frazee city, Becker County, Minnesota",1294,1218,12,72,22,0,0,1294,12,1282,1264,30
"Green Valley township, Becker County, Minnesota",378,375,1,12,0,0,0,378,5,373,368,10
"Hamden township, Becker County, Minnesota",168,168,0,0,0,0,0,168,2,166,168,0
"Height of Land township, Becker County, Minnesota",536,529,1,15,0,0,0,536,7,529,527,9
"Holmesville township, Becker County, Minnesota",597,527,4,73,42,0,0,597,35,562,548,49
"Lake Eunice township, Becker County, Minnesota",1429,1373,42,46,16,0,12,1429,12,1417,1369,60
"Lake Park city, Becker County, Minnesota",776,740,2,46,0,0,3,776,15,761,761,15
"Lake Park township, Becker County, Minnesota",470,467,0,8,0,0,5,470,5,465,460,10
"Lake View township, Becker County, Minnesota",1853,1844,6,73,0,0,0,1853,12,1841,1783,70
"Maple Grove township, Becker County, Minnesota",421,202,3,247,0,3,0,421,0,421,387,34
"Ogema city, Becker County, Minnesota",192,83,6,119,2,0,2,192,12,180,172,20
"Osage township, Becker County, Minnesota",748,741,3,18,0,0,2,748,6,742,732,16
"Pine Point township, Becker County, Minnesota",441,76,0,358,12,0,4,441,4,437,432,9
"Riceville township, Becker County, Minnesota",92,90,0,2,0,0,0,92,2,90,92,0
"Richwood township, Becker County, Minnesota",581,567,3,43,0,0,0,581,0,581,549,32
"Round Lake township, Becker County, Minnesota",118,75,0,43,0,0,0,118,0,118,118,0
"Runeberg township, Becker County, Minnesota",596,589,4,12,0,0,8,596,20,576,581,15
"Savannah township, Becker County, Minnesota",155,153,0,3,0,0,0,155,0,155,154,1
"Shell Lake township, Becker County, Minnesota",288,275,0,17,0,0,0,288,0,288,284,4
"Silver Leaf township, Becker County, Minnesota",471,466,13,10,0,0,0,471,0,471,453,18
"Spring Creek township, Becker County, Minnesota",125,89,0,36,0,0,0,125,0,125,125,0
"Spruce Grove township, Becker County, Minnesota",356,350,1,6,0,0,2,356,0,356,353,3
"Sugar Bush township, Becker County, Minnesota",508,383,0,154,0,0,0,508,4,504,479,29
